IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.200.165,4,4,0.00,186.96,0.00
104.27.74.123,4,4,0.00,186.97,0.00
172.66.212.189,4,4,0.00,187.01,0.00
172.65.160.22,4,4,0.00,187.05,0.00
104.24.238.144,4,4,0.00,187.07,0.00
104.18.20.80,4,4,0.00,187.11,0.00
104.24.160.110,4,4,0.00,187.11,0.00
162.159.134.99,4,4,0.00,187.14,0.00
104.19.150.35,4,4,0.00,187.22,0.00
172.65.117.41,4,4,0.00,187.23,0.00
104.24.240.125,4,4,0.00,187.25,0.00
104.18.5.169,4,4,0.00,187.27,0.00
104.16.174.171,4,4,0.00,187.28,0.00
172.65.184.106,4,4,0.00,187.34,0.00
104.17.163.251,4,4,0.00,187.34,0.00
104.16.214.11,4,4,0.00,187.37,0.00
104.18.139.25,4,4,0.00,187.41,0.00
172.67.43.150,4,4,0.00,187.44,0.00
104.25.167.14,4,4,0.00,187.45,0.00
104.25.159.179,4,4,0.00,187.50,0.00
172.66.201.166,4,4,0.00,187.58,0.00
104.20.227.37,4,4,0.00,187.58,0.00
104.27.8.203,4,4,0.00,187.58,0.00
172.67.94.124,4,4,0.00,187.58,0.00
172.65.254.32,4,4,0.00,187.60,0.00
104.20.194.15,4,4,0.00,187.60,0.00
172.64.176.124,4,4,0.00,187.61,0.00
162.159.27.103,4,4,0.00,187.61,0.00
104.20.97.95,4,4,0.00,187.61,0.00
104.25.58.222,4,4,0.00,187.61,0.00
172.67.51.83,4,4,0.00,187.63,0.00
172.66.146.117,4,4,0.00,187.70,0.00
172.65.146.22,4,4,0.00,187.74,0.00
104.20.107.243,4,4,0.00,187.74,0.00
104.18.78.194,4,4,0.00,187.78,0.00
104.24.203.148,4,4,0.00,187.81,0.00
172.65.174.170,4,4,0.00,187.82,0.00
104.17.150.141,4,4,0.00,187.83,0.00
172.65.151.237,4,4,0.00,187.85,0.00
104.17.113.168,4,4,0.00,187.88,0.00
104.19.203.202,4,4,0.00,187.89,0.00
172.65.244.91,4,4,0.00,187.89,0.00
104.20.192.176,4,4,0.00,187.91,0.00
104.25.144.138,4,4,0.00,187.93,0.00
104.25.195.114,4,4,0.00,187.96,0.00
104.27.62.109,4,4,0.00,187.96,0.00
104.27.65.125,4,4,0.00,187.96,0.00
172.65.144.51,4,4,0.00,188.01,0.00
