IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.157.231,4,4,0.00,191.10,0.00
172.65.175.38,4,4,0.00,191.15,0.00
172.67.203.1,4,4,0.00,191.16,0.00
172.67.50.17,4,4,0.00,191.19,0.00
172.67.209.90,4,4,0.00,191.23,0.00
104.25.5.95,4,4,0.00,191.24,0.00
104.27.203.231,4,4,0.00,191.25,0.00
172.67.253.29,4,4,0.00,191.27,0.00
172.65.39.56,4,4,0.00,191.29,0.00
172.65.86.8,4,4,0.00,191.29,0.00
172.67.34.233,4,4,0.00,191.31,0.00
104.25.247.174,4,4,0.00,191.32,0.00
104.27.32.184,4,4,0.00,191.32,0.00
172.67.156.109,4,4,0.00,191.33,0.00
104.23.123.35,4,4,0.00,191.34,0.00
104.27.69.35,4,4,0.00,191.35,0.00
104.27.72.176,4,4,0.00,191.35,0.00
104.25.13.126,4,4,0.00,191.35,0.00
172.67.14.127,4,4,0.00,191.36,0.00
104.24.48.185,4,4,0.00,191.36,0.00
104.25.28.14,4,4,0.00,191.39,0.00
104.23.103.64,4,4,0.00,191.40,0.00
104.24.26.209,4,4,0.00,191.42,0.00
104.21.200.172,4,4,0.00,191.46,0.00
172.67.43.181,4,4,0.00,191.47,0.00
172.65.20.71,4,4,0.00,191.49,0.00
172.65.98.191,4,4,0.00,191.50,0.00
104.22.22.211,4,4,0.00,191.51,0.00
104.25.115.192,4,4,0.00,191.54,0.00
172.67.154.199,4,4,0.00,191.55,0.00
104.21.90.155,4,4,0.00,191.55,0.00
172.67.24.147,4,4,0.00,191.55,0.00
104.27.12.174,4,4,0.00,191.58,0.00
104.24.41.154,4,4,0.00,191.61,0.00
104.23.114.172,4,4,0.00,191.63,0.00
172.67.118.230,4,4,0.00,191.67,0.00
104.23.97.144,4,4,0.00,191.68,0.00
172.65.37.138,4,4,0.00,191.69,0.00
104.24.183.189,4,4,0.00,191.70,0.00
104.25.80.30,4,4,0.00,191.76,0.00
104.24.149.118,4,4,0.00,191.76,0.00
172.65.105.153,4,4,0.00,191.79,0.00
104.27.206.250,4,4,0.00,191.79,0.00
172.67.104.247,4,4,0.00,191.81,0.00
104.25.47.233,4,4,0.00,191.81,0.00
104.24.249.77,4,4,0.00,191.82,0.00
104.24.75.45,4,4,0.00,191.90,0.00
104.24.246.210,4,4,0.00,191.94,0.00
104.24.197.104,4,4,0.00,191.96,0.00
104.25.237.47,4,4,0.00,191.96,0.00
104.21.94.156,4,4,0.00,191.97,0.00
104.27.39.26,4,4,0.00,192.03,0.00
104.25.121.109,4,4,0.00,192.08,0.00
104.24.156.57,4,4,0.00,192.08,0.00
172.65.153.39,4,4,0.00,192.10,0.00
104.21.110.100,4,4,0.00,192.11,0.00
104.22.15.59,4,4,0.00,192.16,0.00
172.65.139.66,4,4,0.00,192.24,0.00
104.24.21.63,4,4,0.00,192.25,0.00
104.24.52.116,4,4,0.00,192.28,0.00
172.64.231.110,4,4,0.00,192.31,0.00
104.24.7.136,4,4,0.00,192.33,0.00
104.25.126.4,4,4,0.00,192.33,0.00
104.21.120.4,4,4,0.00,192.33,0.00
104.24.73.195,4,4,0.00,192.37,0.00
104.25.48.219,4,4,0.00,192.40,0.00
172.65.213.87,4,4,0.00,192.47,0.00
172.66.161.150,4,4,0.00,192.47,0.00
104.21.229.96,4,4,0.00,192.48,0.00
104.24.3.4,4,4,0.00,192.53,0.00
104.24.244.186,4,4,0.00,192.55,0.00
104.24.139.233,4,4,0.00,192.60,0.00
172.66.203.187,4,4,0.00,192.67,0.00
172.64.159.194,4,4,0.00,192.70,0.00
104.23.98.201,4,4,0.00,192.75,0.00
172.65.249.108,4,4,0.00,192.76,0.00
104.23.116.23,4,4,0.00,192.78,0.00
172.64.152.197,4,4,0.00,192.80,0.00
104.27.52.120,4,4,0.00,192.82,0.00
104.27.71.136,4,4,0.00,192.83,0.00
104.24.53.67,4,4,0.00,192.83,0.00
104.22.43.190,4,4,0.00,192.88,0.00
104.24.133.59,4,4,0.00,192.89,0.00
104.25.165.48,4,4,0.00,192.92,0.00
104.24.220.120,4,4,0.00,192.94,0.00
172.67.47.194,4,4,0.00,192.98,0.00
172.65.59.43,4,4,0.00,193.00,0.00
104.25.162.197,4,4,0.00,193.02,0.00
104.23.115.183,4,4,0.00,193.03,0.00
104.21.95.100,4,4,0.00,193.07,0.00
104.24.199.39,4,4,0.00,193.08,0.00
104.25.85.224,4,4,0.00,193.10,0.00
104.25.8.128,4,4,0.00,193.12,0.00
172.66.216.97,4,4,0.00,193.22,0.00
172.65.146.183,4,4,0.00,193.23,0.00
104.25.78.47,4,4,0.00,193.24,0.00
104.25.166.31,4,4,0.00,193.25,0.00
172.66.139.66,4,4,0.00,193.25,0.00
104.23.107.152,4,4,0.00,193.27,0.00
172.67.42.47,4,4,0.00,193.29,0.00
104.24.17.93,4,4,0.00,193.34,0.00
172.66.163.151,4,4,0.00,193.35,0.00
172.67.62.90,4,4,0.00,193.36,0.00
172.67.178.158,4,4,0.00,193.38,0.00
104.22.68.95,4,4,0.00,193.39,0.00
172.65.100.12,4,4,0.00,193.39,0.00
104.27.193.197,4,4,0.00,193.39,0.00
172.67.186.252,4,4,0.00,193.41,0.00
104.24.232.102,4,4,0.00,193.42,0.00
104.25.139.239,4,4,0.00,193.46,0.00
104.25.37.164,4,4,0.00,193.49,0.00
104.24.32.131,4,4,0.00,193.51,0.00
104.27.51.10,4,4,0.00,193.53,0.00
104.25.154.214,4,4,0.00,193.60,0.00
104.25.244.141,4,4,0.00,193.60,0.00
104.22.12.173,4,4,0.00,193.63,0.00
172.66.136.176,4,4,0.00,193.65,0.00
172.66.133.2,4,4,0.00,193.67,0.00
104.24.55.1,4,4,0.00,193.68,0.00
104.21.97.106,4,4,0.00,193.68,0.00
172.65.31.162,4,4,0.00,193.69,0.00
172.64.98.54,4,4,0.00,193.69,0.00
172.65.163.26,4,4,0.00,193.69,0.00
104.25.221.76,4,4,0.00,193.70,0.00
104.25.141.139,4,4,0.00,193.72,0.00
172.65.194.221,4,4,0.00,193.72,0.00
104.25.122.225,4,4,0.00,193.75,0.00
104.22.11.179,4,4,0.00,193.76,0.00
172.64.35.54,4,4,0.00,193.77,0.00
172.65.133.13,4,4,0.00,193.78,0.00
104.24.61.181,4,4,0.00,193.79,0.00
104.27.19.79,4,4,0.00,193.81,0.00
172.65.52.196,4,4,0.00,193.81,0.00
172.67.145.157,4,4,0.00,193.82,0.00
104.25.169.25,4,4,0.00,193.85,0.00
104.23.130.179,4,4,0.00,193.90,0.00
172.67.83.156,4,4,0.00,193.91,0.00
172.65.55.41,4,4,0.00,193.94,0.00
104.24.134.36,4,4,0.00,193.95,0.00
104.24.196.254,4,4,0.00,194.01,0.00
104.25.94.253,4,4,0.00,194.02,0.00
172.66.152.164,4,4,0.00,194.03,0.00
104.24.141.72,4,4,0.00,194.06,0.00
172.65.204.225,4,4,0.00,194.06,0.00
172.65.14.95,4,4,0.00,194.09,0.00
104.27.73.108,4,4,0.00,194.10,0.00
172.65.190.242,4,4,0.00,194.10,0.00
104.27.65.186,4,4,0.00,194.11,0.00
104.27.123.183,4,4,0.00,194.14,0.00
104.23.106.113,4,4,0.00,194.15,0.00
172.67.160.166,4,4,0.00,194.17,0.00
172.66.176.226,4,4,0.00,194.20,0.00
104.24.128.128,4,4,0.00,194.21,0.00
172.65.132.170,4,4,0.00,194.21,0.00
104.25.27.55,4,4,0.00,194.22,0.00
172.66.215.100,4,4,0.00,194.26,0.00
104.24.204.105,4,4,0.00,194.34,0.00
172.65.40.173,4,4,0.00,194.35,0.00
104.24.190.190,4,4,0.00,194.38,0.00
172.67.111.253,4,4,0.00,194.38,0.00
172.65.80.7,4,4,0.00,194.39,0.00
104.25.230.53,4,4,0.00,194.41,0.00
104.22.19.251,4,4,0.00,194.45,0.00
172.65.179.244,4,4,0.00,194.47,0.00
172.65.195.220,4,4,0.00,194.52,0.00
104.27.106.104,4,4,0.00,194.54,0.00
104.25.19.31,4,4,0.00,194.57,0.00
172.67.252.217,4,4,0.00,194.59,0.00
172.66.138.253,4,4,0.00,194.60,0.00
172.64.155.172,4,4,0.00,194.60,0.00
172.65.255.159,4,4,0.00,194.63,0.00
172.66.201.50,4,4,0.00,194.64,0.00
172.67.202.61,4,4,0.00,194.68,0.00
104.24.39.25,4,4,0.00,194.70,0.00
172.66.177.36,4,4,0.00,194.74,0.00
172.64.50.163,4,4,0.00,194.75,0.00
172.67.94.168,4,4,0.00,194.76,0.00
172.67.2.90,4,4,0.00,194.78,0.00
104.25.54.196,4,4,0.00,194.78,0.00
104.25.218.239,4,4,0.00,194.80,0.00
104.24.168.117,4,4,0.00,194.81,0.00
172.67.205.14,4,4,0.00,194.86,0.00
172.67.48.186,4,4,0.00,194.86,0.00
172.66.46.31,4,4,0.00,194.88,0.00
172.65.248.90,4,4,0.00,194.89,0.00
172.65.137.110,4,4,0.00,194.93,0.00
172.65.12.171,4,4,0.00,195.02,0.00
172.65.82.56,4,4,0.00,195.02,0.00
104.21.119.35,4,4,0.00,195.02,0.00
104.24.181.126,4,4,0.00,195.08,0.00
104.25.245.98,4,4,0.00,195.10,0.00
172.65.203.140,4,4,0.00,195.11,0.00
104.21.193.236,4,4,0.00,195.13,0.00
172.67.122.207,4,4,0.00,195.16,0.00
104.24.241.21,4,4,0.00,195.16,0.00
104.25.72.207,4,4,0.00,195.20,0.00
172.67.40.118,4,4,0.00,195.21,0.00
104.21.107.100,4,4,0.00,195.21,0.00
104.22.35.156,4,4,0.00,195.22,0.00
104.24.54.57,4,4,0.00,195.22,0.00
104.23.100.34,4,4,0.00,195.24,0.00
104.25.190.32,4,4,0.00,195.24,0.00
172.67.254.85,4,4,0.00,195.24,0.00
104.24.235.196,4,4,0.00,195.29,0.00
104.25.44.48,4,4,0.00,195.30,0.00
172.65.209.44,4,4,0.00,195.32,0.00
172.66.148.185,4,4,0.00,195.32,0.00
172.65.253.20,4,4,0.00,195.33,0.00
104.25.241.136,4,4,0.00,195.36,0.00
104.24.238.73,4,4,0.00,195.42,0.00
104.24.132.112,4,4,0.00,195.45,0.00
172.65.35.142,4,4,0.00,195.46,0.00
172.67.142.70,4,4,0.00,195.47,0.00
104.24.165.188,4,4,0.00,195.47,0.00
104.22.9.106,4,4,0.00,195.52,0.00
104.23.139.251,4,4,0.00,195.53,0.00
172.65.119.161,4,4,0.00,195.53,0.00
172.67.188.123,4,4,0.00,195.57,0.00
172.65.38.50,4,4,0.00,195.60,0.00
172.67.9.123,4,4,0.00,195.60,0.00
172.66.134.208,4,4,0.00,195.61,0.00
104.24.171.211,4,4,0.00,195.62,0.00
104.27.7.118,4,4,0.00,195.62,0.00
104.25.114.94,4,4,0.00,195.71,0.00
104.23.127.55,4,4,0.00,195.72,0.00
104.27.17.109,4,4,0.00,195.74,0.00
104.27.121.233,4,4,0.00,195.74,0.00
104.27.45.72,4,4,0.00,195.75,0.00
172.65.70.70,4,4,0.00,195.75,0.00
104.25.153.61,4,4,0.00,195.75,0.00
104.27.64.206,4,4,0.00,195.78,0.00
104.24.74.74,4,4,0.00,195.78,0.00
104.25.92.58,4,4,0.00,195.80,0.00
172.67.222.26,4,4,0.00,195.84,0.00
172.66.129.0,4,4,0.00,195.87,0.00
104.27.127.49,4,4,0.00,195.88,0.00
104.27.42.244,4,4,0.00,195.93,0.00
104.27.66.44,4,4,0.00,195.95,0.00
104.27.199.117,4,4,0.00,195.97,0.00
104.22.73.160,4,4,0.00,195.97,0.00
172.67.149.178,4,4,0.00,196.00,0.00
104.25.149.251,4,4,0.00,196.05,0.00
104.25.161.202,4,4,0.00,196.05,0.00
104.25.65.18,4,4,0.00,196.10,0.00
172.65.126.18,4,4,0.00,196.10,0.00
104.25.0.22,4,4,0.00,196.14,0.00
172.67.112.203,4,4,0.00,196.16,0.00
172.65.180.213,4,4,0.00,196.19,0.00
104.23.134.12,4,4,0.00,196.20,0.00
172.67.232.82,4,4,0.00,196.21,0.00
172.65.208.127,4,4,0.00,196.21,0.00
104.24.59.185,4,4,0.00,196.26,0.00
172.65.30.167,4,4,0.00,196.26,0.00
104.25.232.47,4,4,0.00,196.30,0.00
172.64.154.95,4,4,0.00,196.31,0.00
104.25.143.222,4,4,0.00,196.31,0.00
172.66.47.210,4,4,0.00,196.34,0.00
172.66.131.100,4,4,0.00,196.35,0.00
172.65.122.6,4,4,0.00,196.39,0.00
104.23.101.42,4,4,0.00,196.41,0.00
104.24.146.21,4,4,0.00,196.41,0.00
172.67.245.200,4,4,0.00,196.47,0.00
172.67.127.200,4,4,0.00,196.47,0.00
172.65.76.220,4,4,0.00,196.47,0.00
172.66.141.77,4,4,0.00,196.49,0.00
172.67.213.45,4,4,0.00,196.50,0.00
172.65.48.71,4,4,0.00,196.51,0.00
172.64.52.219,4,4,0.00,196.53,0.00
172.67.88.37,4,4,0.00,196.53,0.00
104.25.55.15,4,4,0.00,196.54,0.00
